Group,Source,Content,L1,L2
Google Play,Google Play,"Mình khuyên các bạn nên mua bên Lazada hoặc Tiki chứ không nên mua Shopee nhé. Có vấn đề gì gửi mail thì trả lời như không, không giải quyết được đâu, tốn thời gian.",Services,Contact Agent
Google Play,Google Play,Con cc quoảng cáu ít thôi,Services,Shopee communication channels
iOS,iOS,Mình có một vài món hàng shipper ấn giao r mà chưa đưa mình hàng hay đơn hàng hơn tháng vẫn chưa nhận dù có liên hệ với trợ giúp để yêu cầu liên hệ với shipper nm họ chỉ xl và cứ thế cho 1 tuần trôi qua tiếp.app sd đôi khi cũng giật với lag.,Services,Contact Agent
Google Play,Google Play,Mình đã sử dụng shoppe cũng 1 thời gian dài rồi nhưng mới đây là trải nghiệm tồi tệ nhất mà mình từng gặp và shoppe không chịu giải quyết vấn đề và đã đổ lỗi lại cho mình. Mình thật sự rất thất vọng về cách hành xử của shoppe ạ,Services,Contact Agent
Google Play,Google Play,Chăm sóc khách hàng quá tệ. Nhân viên hỗ trợ có cũng như không,Services,Contact Agent
Google Play,Google Play,"App bấm mua hàng thì luôn lag, nhân viênCSKH trả lời rất là khinh thường user, mua hàng đa số đều xử theo lối vô trách nhiệm cho cả bên bán lẫn bên mua",Services,Contact Agent
iOS,iOS,"Nhân viên hỗ trợ shop nước ngoài quá kém, quá tệ. Làm ăn vớ va vớ vẩn",Services,Contact Agent
Google Play,Google Play,"Lỗi trầm trọng, đang dùng giờ vào mua hàng k đc, ví shopeepay k mở đc...",Others,Cannot defined
Shopee - chia sẻ kinh nghiệm bán hàng nghìn đơn,Non Owned,mn cho em hỏi với ạ. đơn này của em hiện trong app thì báo còn ở kho nhưng ra kho ở bên vận chuyển hỏi thì người ta kêu là đi đơn rồi. liệu lúc mà khách nhận được hàng mà app còn lỗi như này thì mình có nhận được tiền hàng như bình thường k ạ,Others,Seller
Shopee người bán - Chia sẻ kinh nghiệm bán hàng nghìn đơn - Shopee,Non Owned,"Em lên sản cũng gần tháng rồi. Nhưng chưa thấy hiệu quả, và chưa biết quảng cáo sao cho đúng cách để ra đơn. Anh/chị có kinh nghiệm chỉ giáo giúp em với ạ  https://shopee.vn/kosam.store91?smtt=0.53249287-1651743072.9",Others,Seller
Hoàng Anh Phong,Non Owned,"-Tên sản phẩm: Lốc 5 gói mì khoai tây Omachi 80g Sườn hầm,Tôm chua cay,Bò hầm -Lý do muốn mua sản phẩm: có 4 vị thơm ngon, thay đổi bữa mỗi ngày tiện lắm à nha #Shopee99NgaySieuMuaSam #KhoeDoSieuThich",Others,Cannot defined
24h.com.vn,Non Owned,Cách đặt xe công nghệ an toàn hơn trong mùa dịch,Others,Cannot defined
Shopee người bán - Chia sẻ kinh nghiệm bán hàng nghìn đơn - Shopee,Non Owned,Shop mình thiếu tỷ lệ phản hồi chat. Làm tăng cách nào vậy các cao nhân?,Others,Seller
NHÓM HỖ TRỢ NHAU ĐẶT HỘ ĐƠN SHOPEE ☑️,Non Owned,Shop mình cần 50 bạn đặt đơn shopee lazada yiki  yêu cầu: tk trên 4 tháng và có đơn hàng thành công Công 10k không cần nhận hàng Không cần áp mã không cần thanh toán Chủ động ib mình nếu có nhu cầu,Others,Scam
Google Play,Google Play,"Lỗi khi mở ra, không làm được gì",Feature,App performance
Shopee - chia sẻ kinh nghiệm bán hàng nghìn đơn,Non Owned,Có ai đăng ký mã giảm giá của shopee bị lỗi này không ạ? em bị từ hqua đến nay ko làm gì được ạ,Feature,Apply Voucher
Google Play,Google Play,Lỗi quá muốn xem ng khác đánh giá sản phẩm thì lỗi,Feature,Review & Rating
Google Play,Google Play,Shopee làm ăn chẳng uy tín gì cả. Áp mã thì báo lỗi và hết hạn trong khi đó hạn còn vài ngày nữa. Khó chịu thật sự. 😠😡,Feature,Apply Voucher
Google Play,Google Play,"Từ 13/4/2022, app vào lâu, giật , lag, cập nhật để chạy nhanh lên chứ lại chậm đi thì chịu!",Feature,App performance
Google Play,Google Play,"Shopee dạo này bị lỗi, chán thê.",Feature,App performance
Google Play,Google Play,Sao shop lỗi vô k đc cho 1 sao,Feature,App performance
Mã Giảm Giá Lazada Shopee,Non Owned,"❌SHOPEE 21H❌ Mã mới toàn sàn giảm hoàn 88K, 30K/99K, 20K/50K +Mã Quốc tế 100K/150K(Mã dễ) + Mã tiêu dùng,đs -200K. MÃ dưới c.m.t",Commercial,Promotions
Google Play,Google Play,Quảng cáo nhiều vai l*n,Commercial,Promotions
Vay tiêu dùng fecredit,Non Owned,"🍯MẬT ONG HOA CÀ PHÊ DURIAN, ""MÓN QUÀ TỪ THIÊN NHIÊN""🍁 💯100% Mật ong hoa cà phê từ Vùng cao nguyên đại ngàn. Tốt cho sức khỏe, có thể sử dụng chế biến nhiều loại đồ ăn thức uống. ♻️cam kết hoàn trả 100% nếu phát hiện hàng giả, kém chất lượng ----------------- 🌏facebook: Durian Nông Sản Việt 📲 phone: 0909491683 📱 Zalo: Durian/0909491683 🏪 https://shopee.vn/saurieng2901 🏪 https://s.lazada.vn/s.YmCtl #durian #tacmatong #tra #mangtay #tramangtay #tacduongphen #saurieng #mangtayxanh #matong #matongtac #tac",Commercial,Items/price
Google Play,Google Play,Cút ngay khỏi mấy app nước ngoài,Commercial,Promotions
Ghiền ShopeePay,Owned,"#GhienShopeePayawardT8 Shopee đúng là cái gì cũng rẻ, giá hạt dẻ hạt me luôn á chèn..  Áo trơn giá rẻ mua mặc nhà thoải mái. Thanh toán ShopeePay lại tiết kiệm được 500đ so vs thanh toán tiền mặt rồi á nha.",Commercial,Shopee Programs
Google Play,Google Play,Lag điên lên vào nông trại cứ tí lại out chả lẽ không dùng nữa,Commercial,Games/Minigames
Google Play,Google Play,Quá nhiều quảng cáo. YouTube trở nên rác và dơ bẩn,Commercial,Promotions
Google Play,Google Play,Càng ngày mua hàng trên shopee càng chán. Bên vận chuyển ko ra gì. Ko gọi đt cho khách hàng mà báo giao hàng ko thành công rồi tự ý quay đầu.,Delivery,Driver
Google Play,Google Play,đồ không dùng đc hoàn trả lại gọi điện lý do ko cho hoàn trả bịp,Delivery,Delivery time
Google Play,Google Play,Phí giao hàng trong nước cao lắm luôn í lazada phí ship từ hcm đến hnoi có 18k shoppe 50k :),Delivery,Shipping fee
HC search,HC search,số điện thoại shiper,Delivery,Driver
Hội AE Giao Hàng Shopee Express,Non Owned,anh chị em cho em hỏi sao có thể tra được số điện thoại shipper đang giao hàng k ạ 🥺 em có hàng cần lấy ngay mà chờ tới chiều thì muộn mất,Delivery,Driver
Google Play,Google Play,Tôi đặt hàng mà chẳng thấy giao 1 năm rồi🤬🤬🤬🤬🤬🤬,Delivery,Delivery time
iOS,iOS,phí ship cao vc,Delivery,Shipping fee
Google Play,Google Play,Đơn đầu tiên app mã free ship xong bị khoá luôn acc,Shopee account,Banned/blocked
Google Play,Google Play,Lỗi về phần địa chỉ khiến ngta bực mình,Shopee account,Account info setting
Google Play,Google Play,"Quá tệ. Xoá tài khoản của khách một cách vô tội vạ, bên chăm sóc khách hàng làm ăn cũng chẳng đâu ra đâu. Mình dùng shopee từ năm 2019 đến nay, chưa bao giờ mình thấy cách làm việc của shopee tệ như lúc này. Mình tải app là để mua hàng, chứ có ăn cắp ăn trộm gì đâu mà bảo là ""có hành vi bất thường""? Còn về những mã giảm giá mà shopee tạo ra, nếu cảm thấy không muốn cho khách dùng thì đừng tung mã. Nếu đã ra mã thì phải để khách sử dụng chứ. Một lần nữa, mình rất rất thất vọng về shopee.",Shopee account,Banned/blocked
Google Play,Google Play,Dốt cuộc shop bị j vậy ko vô đc là sao?,Shopee account,Banned/blocked
Google Play,Google Play,Mới tạo nick đặt hàng vẫn chx nhận đc lại khoá nick Tôi cảm thấy ko hài lòng😡,Shopee account,Banned/blocked
Google Play,Google Play,"Lỗi nặng luôn, đang kí sdt mà ko mua đc chán",Shopee account,Sign up/Log in
Google Play,Google Play,"Lỗi, k vào dc, mong khắc phục sớm",Shopee account,Sign up/Log in
HC search,HC search,hệ thống ngân hàng liên kết với Vi ShopeePay đang được bảo trì,Payment,ShopeePay
iOS,iOS,"Không thanh toán bằng thẻ được, potay",Payment,Other payment methods
Google Play,Google Play,"Chả hiểu cái giống gì , đặt hàng thì đcm k cho thanh toán khi nhận hàng , thì đặt kiểu l gì , làm ăn như l mà nghĩ đang giúp cho mn",Payment,Payment issues
Google Play,Google Play,"nay không cho cod đơn quốc tế nữa nản đời lắm luôn đó ạ. Shopee làm mình thất vọng thật sự, ngày xưa tiện lợi bao nhiêu thì giờ lằng nhằng bấy nhiêu. không phải ai cũng đăng kí cái shopee pay dc đâu ạ🙂",Payment,Other payment methods
Google Play,Google Play,Ko mua được hàng hay làm gì cả sau khi cập nhập,Payment,Payment issues
Google Play,Google Play,chuyển tiền từ ví shopee sang TKNN mãi k đc rất tệ,Payment,ShopeePay
Google Play,Google Play,Ví shopee pay ko dùng được,Payment,ShopeePay
HC search,HC search,muốn hủy,Order/Item,Order cancelled
Google Play,Google Play,"Tôi xoá tài khoản k đc lag sao , đó k pk tài khoản của tôi . Ai đó đã lấy đi mấy , tôi muốn tạo tài khoản mới mà sao lại k cho",Order/Item,Order/Item Others
iOS,iOS,"Ép khách lựa chọn đơn vị vận chuyển. 
Phí vận chuyển quá cao, gần tương đương giá trị hàng mua. Mua càng nhiều phí càng cao cho dù hàng nhỏ gọn",Order/Item,Order/Item Others
iOS,iOS,"Về yêu cầu huỷ đơn, lại có tính năng để nhà bán “đồng ý huỷ” hay “không đồng ý huỷ”. Mình không thích về việc này. Sẽ có rất nhiều bất tiện cho mọi người. Đôi khi không muốn mua nữa, lại không được “chấp nhận huỷ” của nhà bán.",Order/Item,Order cancelled
iOS,iOS,Tôi rất thất vọng dịch vu cua shoppee tôi mua sản phẩm của dịch vu không ai giao đến hay gọi mà báo với hệ thống là giao hang khổng thanh công còn thêm địa chỉ ko rõ rang nua chứ. Niếu dịch vu shoppee tlàm ko nỗi thi đừng lam nửa chuyển nghề đi.,Order/Item,Order cancelled
Google Play,Google Play,Mua hàng không bao giờ được cả toàn bị hủy hàng không,Order/Item,Order cancelled
HC search,HC search,tại sao tài khoản shopee lại không dùng được mã cho đơn quốc tế bao giờ được mở,Order/Item,Cross border
Google Play,Google Play,"Chính sách càng ngày càng ngu. Không thay đổi thì sớm muộn gì cũng sập. Các shop đổi sang nền tảng khác thôi, giờ thiếu gì nền tảng đâu",Return/Refund,Dispute
NPS Pain points,HC search,Tôi không biết chính xác trạng thái xử lý yêu cầu của mình,Return/Refund,Process RR
iOS,iOS,"Xử lí hoàn hàng rất lâu la, đặc biệt là hàng quốc tế, có video khui hàng đầy đủ từ đầu đến cuối vẫn kêu là ko hợp lệ vì khuất cam đúng 1s, lazada xử lí siêu nhanh nhé",Return/Refund,Process RR
