Source,Content,L1,L2
Google Play,"App ncc lúc nào cx lag đơ, phần tìm kiếm thì viết kiểu gì sp đó vẫn ko ra, thế phải ghi đúng tên mới chịu à? Lỡ quên tên ngta ghi mé mé như v cx phải gợi ý sp tương tự chứ??? ☻",Feature,App performance
Non Owned,..❗️ GÓC THANH LÝ Tính ra rẻ hơn cả mua #Shopee Mong 1 lần đc check ib mỏi tay 😆😆😆   Em chuyển cửa hàng nên dọn lại có thừa vài chục tấm nệm xuất nhật này.   1mx2m : 1m2x2 : 1m4x2m : 1m6x2m : 1m8x2m :2mx2m Đệm dày 7-8 phân Nhưng vì còn ít nên topic này em bán thanh lý giá rẻ ạ.   Ship cod nhận hàng được kiểm tra thoải mái.  Miễn ship toàn quốc. Nên đừng bom tội nghiệp em nhé dày 7-8 phân Nhắn tin em gửi mẫu nhé🥰,Commercial,Items/price
Google Play,Mắc gì người ta đặt hàng toàn lỗi 😃????,Feature,App performance
Owned,#GhienShopeePayawardT8 Khi bạn chơi shopee quá lâu thì không thể nào không biết đến với ShopeePay . Liên kết thanh toán được cho các đơn hàng Shopee và ShopeeFood luôn nè.,Commercial,Shopee Programs
Google Play,Rất bức xúc khi dùng . mã giảm giá người dùng thì m02 vậy cho ưu đãi đấy làm gì ạ . Mua đc mấy đơn thì bị m04 vậy tải về để mua hàng nhưng bh lại để làm cảnh . Thật sự là ko đáng để đc đánh giá một sao,Feature,Apply Voucher
Non Owned,[#Bachucaydon](https://www.facebook.com/hashtag/bachucaydon?__eep__=6&__cft__[0]=AZV31yyLdmnC-leRUXT8sI-xzXa_0U-5XQGbexjrKYHXsH6g-RuiRhGj9B7zN_KzagmR-Lnik7NKfDrf0OKtzWTTh3LLI2drbXA3LacxvY_CZdzcDEUJ1QVXfOnHb26P_rtsE3QE6YOkzVYaCjrkguf2&__tn__=*NK*F) [#ThaoluanTTLK](https://www.facebook.com/hashtag/thaoluanttlk?__eep__=6&__cft__[0]=AZV31yyLdmnC-leRUXT8sI-xzXa_0U-5XQGbexjrKYHXsH6g-RuiRhGj9B7zN_KzagmR-Lnik7NKfDrf0OKtzWTTh3LLI2drbXA3LacxvY_CZdzcDEUJ1QVXfOnHb26P_rtsE3QE6YOkzVYaCjrkguf2&__tn__=*NK*F) Tên đăng nhập: cuahangnganhinlua Tuy phí hoa hồng không nhiều nhưng ít ra có còn hơn không ạ 😂 Cám ơn Shopee đã có Shopee Afiliates cho Nhà Bán Hàng Shopee bằng cách chia sẻ link sản phẩm để có thêm thu nhập 🥰❤️,Others,Cannot defined
Non Owned,"‼️ SỰ KIỆN SHOPEE 01.12 ‼️ 1. Thử Thách Shopee 🍒 https://shope.ee/3pnUsyWikj 2. Vòng Quay Freeship+ Vòng Quay Voucher (cuối trang) 🍒 https://shope.ee/4fMbsXg96e 3. Nông trại Shopee: ngày hội bạn bè nhận 50g/lượt 🍒 https://shope.ee/6pR6SYF9BA ------ Chuỗi sự kiện tháng 12 👉 https://shope.ee/2Kyh6KI4cE 1. Quà Tặng Shopee: trúng 12K xu, đổi thưởng 5K xu 🍒 https://shope.ee/7KNN3XkpFJ 2. Số Gì Đây: chọn số trúng 12K xu 🍒 https://shope.ee/6ABPfQt8M6 3. Nông Trại Shopee: trồng cây hộp quà trúng 12K xu 🍒 https://shope.ee/4pg250xGRk 4. Shopee Đập Kẹo: đổi 12K xu 7:30 - 11:30 - 21:30 🍒 https://shope.ee/6KUprnM5MW 5. Shopee Bắn Bong Bóng: 1.2K xu, 12K xu lúc 12:00, 21:00 🍒 https://shope.ee/3VAeUdVeyW",Commercial,Shopee Programs
Google Play,Bấm đặt hàng quài mà k đc,Others,Cannot defined
Non Owned,"Chào mọi người ! Shop em bán đồ ăn vặt, lượng follow còn ít, mọi người vào follow chéo với em, em sẽ follow lại bằng nick của shop luôn ạ!  Mong ad duyệt bài, em xin cảm ơn ! https://shopee.vn/anvatngon.hcm",Others,Seller
iOS,Dạo này mình dùng app rất là lag luôn ạ. Vào tưới cây thôi cũng vô chục lần chưa được. Tệ .,Feature,App performance
